european_capital_cities;p_age;p_gender;p_education;p_country;p_id;uri
sofia;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Sofia
helsinki;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Helsinki
paris;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Paris
lisbon;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Lisbon
berlin;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Berlin
barcelona;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Barcelona
london;23;Female;Master's degree;England;101;http://dbpedia.org/resource/London
dublin;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Dublin
london;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/London
paris;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Paris
berlin;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Berlin
paris;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Paris
berlin;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Berlin
rome;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Rome
dublin;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Dublin
london;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/London
belfast;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Belfast
paris;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Paris
london;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/London
helsinki;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Helsinki
paris;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Paris
london;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/London
berlin;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Berlin
paris;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Paris
rome;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Rome
london;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/London
vienna;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Vienna
berlin;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Berlin
moscow;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Moscow
