fast_food;p_age;p_gender;p_education;p_country;p_id;uri
currywurst;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Currywurst
hamburger;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Hamburger
kebab;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Kebab
hamburger;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Hamburger
cheeseburger;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Cheeseburger
french fries;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/French_fries
hamburger;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Hamburger
french fries;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/French_fries
chickenwings;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Chicken_wing
hamburger;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Hamburger
chickenwings;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Chicken_wing
hamburger;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Hamburger
french fries;48;Female;Diplom;germany;97;http://dbpedia.org/resource/French_fries
pizza;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Pizza
hamburger;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Hamburger
pizza;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Pizza
french fries;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/French_fries
hamburger;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Hamburger
hot dog;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Hot_dog
french fries;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/French_fries
hamburger;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Hamburger
hamburgers;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Hamburger
french fries;23;Female;Master's degree;england;101;http://dbpedia.org/resource/French_fries
pizza;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Pizza
hamburger;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Hamburger
pizza;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Pizza
hot dogs;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Hot_dog
hamburger;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Hamburger
hot dog;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Hot_dog
taco;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Taco
pizza;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Pizza
hamburger;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Hamburger
french fries;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/French_fries
hamburger;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Hamburger
friedchicken;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Fried_chicken
pizza;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Pizza
hamburger;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Hamburger
french fries;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/French_fries
kebab;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Kebab
hot dog;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Hot_dog
hamburger;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Hamburger
french fries;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/French_fries
pizza;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Pizza
hamburger;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Hamburger
fishandchips;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Fish_and_chips
