us_companies;p_age;p_gender;p_education;p_country;p_id;uri
amazon;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Amazon_(company)
apple;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Apple_Inc.
amazon;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Amazon_(company)
apple;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Apple_Inc.
amazon;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Amazon_(company)
apple;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Apple_Inc.
ford;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Ford_Motor_Company
mcdonalds;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/McDonald's
wrangler;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Wrangler_(jeans)
apple;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Apple_Inc.
walmart;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Walmart
amazon;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Amazon_(company)
